Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
SU_BFL_Dur_Fl,134.0,87.0,82.0,122.0,199.0,218.0,248.0,242.0,183.0,235.0,219.0,183.0,236.0,191.0,123.0,nan,187.0,256.0,206.0,256.0,205.0,200.0,221.0,298.0,152.0,171.0,nan,237.0,268.0,92.0,166.0,155.0,215.0,nan,nan
SU_BFL_Dur_Wet,279.0,289.0,236.0,263.0,213.0,268.0,256.0,242.0,256.0,276.0,236.0,249.0,248.0,250.0,237.0,138.0,259.0,258.0,245.0,263.0,276.0,304.0,247.0,298.0,261.0,236.0,285.0,278.0,291.0,264.0,242.0,254.0,224.0,218.0,217.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,46.0,318.0,299.0,305.0,317.0,17.0,44.0,61.0,69.0,8.0,64.0,53.0,23.0,77.0,11.0,346.0,nan,17.0,111.0,45.0,81.0,6.0,24.0,48.0,118.0,356.0,4.0,nan,62.0,89.0,298.0,21.0,337.0,40.0,nan
FAFL_Mag,10.972245118003597,111.99143058781677,121.83410827919147,34.91382855668105,11.999761056655663,80.96646938981712,14.808937665549088,6.031637936604978,81.9618119083074,9.95729103921042,30.027489331704178,11.95461745018267,20.991004241343383,7.321169037489672,38.96238029945065,99.88782787534672,nan,35.9648455480039,57.99048946646242,35.95592338154896,12.027773848462449,13.288171234873767,22.094355961156495,13.327292972975203,58.375858703534874,167.97700768903474,11.65612908244202,nan,25.866633272921252,23.570733329874486,84.95092266304006,28.06534715926992,179.69270737600445,42.89025007930367,nan
FAFL_Tim_Wet,97.0,98.0,136.0,94.0,93.0,31.0,94.0,69.0,69.0,81.0,105.0,70.0,89.0,89.0,70.0,95.0,342.0,89.0,113.0,84.0,88.0,77.0,128.0,74.0,118.0,100.0,69.0,98.0,103.0,112.0,105.0,97.0,71.0,49.0,30.0
FAFL_Dur,5.0,4.0,2.0,4.0,3.0,2.0,6.0,8.0,4.0,10.0,10.0,3.0,3.0,5.0,3.0,2.0,nan,4.0,5.0,6.0,10.0,5.0,7.0,3.0,2.0,6.0,2.0,nan,2.0,3.0,4.0,3.0,5.0,4.0,nan
Wet_BFL_Mag,4.789999999999999,11.0,8.5,11.0,3.4,13.0,3.52,5.95,24.2,3.58,4.4,7.5600000000000005,4.2,7.34,9.66,7.9,11.0,6.4,44.6,8.536,8.81,4.5600000000000005,6.62,6.628,58.42999999999999,12.580000000000002,3.986,13.83,8.66,14.320000000000002,6.961,5.088,6.062,7.546000000000001,7.074
WIN_Tim_2,nan,102.0,142.0,360.0,nan,57.5,nan,nan,127.0,nan,nan,nan,137.0,nan,151.5,84.5,1.0,163.0,138.0,137.0,nan,nan,142.0,nan,143.5,59.0,nan,136.0,123.0,146.5,156.5,117.0,337.0,nan,nan
WIN_Dur_2,nan,2.0,1.0,1.0,nan,3.0,nan,nan,1.5,nan,nan,nan,3.0,nan,5.0,4.5,5.0,5.0,2.0,1.0,nan,nan,10.0,nan,8.5,2.0,nan,1.0,5.0,4.5,2.5,1.0,1.0,nan,nan
WIN_Fre_2,0.0,7.0,3.0,7.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,6.0,2.0,1.0,4.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,7.0,0.0,1.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0
WIN_Tim_5,118.0,117.0,36.5,44.0,113.5,112.0,nan,nan,98.0,nan,135.5,nan,152.0,nan,131.0,121.0,117.5,128.0,149.5,123.0,nan,120.5,136.0,121.0,145.0,58.5,118.0,127.0,129.5,140.0,131.0,112.0,338.5,nan,39.0
WIN_Dur_5,1.5,3.0,25.5,1.5,3.0,2.0,nan,nan,6.0,nan,2.0,nan,2.0,nan,6.0,2.0,3.5,2.0,7.5,2.0,nan,2.0,12.0,2.5,2.5,4.5,2.0,1.0,8.5,2.0,5.0,13.0,1.5,nan,2.0
WIN_Fre_5,2.0,10.0,2.0,8.0,2.0,9.0,0.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,7.0,9.0,6.0,5.0,4.0,5.0,0.0,2.0,2.0,2.0,4.0,6.0,1.0,3.0,2.0,3.0,5.0,1.0,2.0,0.0,1.0
WIN_Tim_10,116.5,20.5,36.5,364.0,131.0,87.0,109.0,nan,97.0,109.0,143.5,106.0,112.0,126.0,77.0,99.0,365.0,126.0,121.0,127.5,121.0,124.0,109.0,96.0,119.5,58.0,117.0,126.5,117.0,137.5,129.0,111.0,104.0,107.0,38.0
WIN_Dur_10,4.0,5.0,2.0,4.0,9.0,6.0,6.0,nan,5.0,3.0,4.0,1.5,13.0,4.0,8.0,3.0,4.0,10.5,3.0,10.5,3.0,7.0,15.5,10.0,25.5,5.0,6.0,4.0,13.0,7.0,3.5,27.0,2.0,3.0,3.0
WIN_Fre_10,2.0,8.0,4.0,9.0,4.0,9.0,2.0,0.0,7.0,3.0,4.0,2.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,2.0,3.0,2.0,7.0,3.0,4.0,2.0,4.0,8.0,1.0,7.0,1.0,1.0
WIN_Tim_20,122.0,353.0,40.0,37.0,95.0,17.0,98.0,101.0,72.5,91.0,119.0,91.0,50.0,112.0,62.0,36.0,361.0,79.0,95.5,80.0,109.0,89.0,86.5,76.0,103.0,15.0,91.0,110.5,104.0,98.0,29.0,76.0,81.0,98.0,118.0
WIN_Dur_20,22.0,12.0,3.5,11.0,56.0,4.0,35.0,3.0,48.0,10.0,3.5,32.0,52.5,14.5,11.0,2.0,3.0,15.0,39.0,2.0,6.0,69.0,4.0,75.0,37.0,5.0,6.0,17.0,2.0,38.0,2.0,2.0,6.5,2.0,4.0
WIN_Fre_20,2.0,7.0,8.0,8.0,1.0,3.0,1.0,5.0,2.0,3.0,4.0,1.0,2.0,2.0,6.0,7.0,9.0,3.0,2.0,3.0,3.0,1.0,6.0,1.0,2.0,7.0,7.0,2.0,6.0,2.0,6.0,3.0,4.0,5.0,3.0
WIN_Tim_50,9.5,259.0,243.0,65.5,296.5,120.5,63.0,5.0,8.5,350.0,62.0,51.0,8.0,66.0,340.5,338.0,90.5,12.0,305.0,323.0,70.5,345.0,329.5,8.0,27.0,331.0,338.5,4.0,347.5,13.0,304.0,331.5,67.0,39.0,14.0
WIN_Dur_50,61.5,7.0,9.0,12.5,115.0,8.5,17.0,1.0,64.5,87.5,123.0,6.0,9.0,49.0,107.5,1.0,119.0,2.0,2.0,3.0,42.0,2.0,102.0,2.0,10.0,229.0,15.5,4.0,78.0,1.0,143.5,76.0,105.5,118.0,5.0
WIN_Fre_50,2.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,7.0,7.0,5.0,2.0,4.0,2.0,5.0,3.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,9.0
